iter,elapsed_s,global_best_len,iter_best_len,iter_mean_len,iter_worst_len
340,6.46551,33948.4,36675.2,43774.8,51795.5
341,6.4845,33948.4,36702.1,44002.7,52184.1
342,6.50336,33948.4,36319.4,43539.6,53224.2
343,6.52223,33948.4,36440.4,43268.5,55379.7
344,6.54112,33948.4,37312.8,43822.4,53342.2
345,6.56015,33948.4,37279.9,43988,55806.6
346,6.57911,33948.4,36336.8,43776.7,53297.1
347,6.59831,33948.4,37011.8,43937,53294.4
348,6.61767,33948.4,36495.8,44106.5,54559
349,6.63699,33948.4,35299.1,43988.9,55131.6
350,6.6558,33948.4,38049.7,43990.5,54964
351,6.6747,33948.4,37087.2,43835.9,54022.8
352,6.69344,33948.4,36657.3,43982.3,51352.5
353,6.71228,33948.4,37236.5,43901.2,53097.2
354,6.73087,33948.4,35384.4,42999.3,53234.6
355,6.74946,33948.4,37569.7,43675.5,56860.1
356,6.76793,33948.4,36052.2,43547.2,53025.6
357,6.78667,33948.4,36028.4,44036.1,57146.8
358,6.80541,33948.4,36416,44042.8,58818.1
359,6.82415,33948.4,36178.7,43417.8,51481.6
360,6.84323,33948.4,37549.2,44093.6,52162
361,6.86209,33948.4,37496.8,43702.3,51918.4
362,6.88099,33948.4,36527.2,44012,55989.2
363,6.89984,33948.4,37923.2,43597,51694.3
364,6.91849,33948.4,36345.4,43602.2,53262.6
365,6.93737,33948.4,37052.8,43785.2,51699.9
366,6.95594,33948.4,36100.3,44255.9,55433.4
367,6.97458,33948.4,35437.5,43682.4,52597.4
368,6.99316,33948.4,37883.8,43590.9,53686
369,7.01167,33948.4,37121.6,43674.5,56050.8
370,7.03054,33948.4,37302.5,43995.7,53651.9
371,7.04933,33948.4,37245.2,43786.7,55367.7
372,7.06819,33948.4,36451.4,44023.4,56995.9
373,7.08671,33473.2,33473.2,43564.5,54469.7
374,7.10557,33473.2,36958.1,44106.7,59349.2
375,7.12428,33473.2,37346.6,43629.4,55284.6
376,7.14293,33473.2,34208.6,43340.5,54011.3
377,7.16172,33473.2,34855.5,43544.4,53993.6
378,7.18038,33473.2,36729.3,42929.8,52884.1
379,7.19878,33473.2,36880.4,42954.3,54808.8
380,7.21769,33473.2,35948.5,42985.2,54470.1
381,7.23608,33473.2,36032.5,42793.4,51911.6
382,7.25455,33473.2,36606,42923.7,52443.7
383,7.27297,33473.2,35849.5,43064.5,55339.2
384,7.29118,33473.2,36251.7,42393.2,50497.9
385,7.30977,33473.2,35590.3,42932.2,53346.5
386,7.32831,33473.2,34916.7,42756.5,52566.9
387,7.34666,33473.2,34954.9,42568.6,56035.6
388,7.36504,33473.2,35676.6,42750.7,52951.7
389,7.38325,33473.2,35892.1,42369.6,53732.2
390,7.40135,33473.2,34343,42336.3,53752
391,7.41955,33473.2,35710.8,42157.2,54814.2
392,7.43797,33473.2,36635.4,42346.5,52088.1
393,7.45646,33473.2,36526.7,42750.7,52493
394,7.47478,33473.2,36234.6,42496.2,53787.9
395,7.49289,33473.2,35923.2,42549.3,54125.2
396,7.51161,33473.2,35319.4,42076.1,54055.8
397,7.52978,33473.2,34504.7,41944,51473.3
398,7.54785,33473.2,36390.8,42165.5,51894.7
399,7.56604,33473.2,35679.9,42309.9,53866.6
400,7.5845,33473.2,36208.7,42229.6,52023.6
401,7.60249,33473.2,34298.8,41977.2,52303.8
402,7.62052,33473.2,35056.8,41695.4,52034.5
403,7.63896,33473.2,35615,42418.3,49425.9
404,7.65707,33473.2,36370.4,42361,51200.1
405,7.67527,33473.2,36428.1,42147.2,51739.4
406,7.69382,33473.2,34222.2,42450.3,55323.1
407,7.71208,33473.2,35092.5,41885.4,53424.7
408,7.73055,33473.2,35638,42075.9,56093.1
409,7.74868,33473.2,34895,42122.6,51013.7
410,7.76658,33473.2,34744.1,41976.4,51972.5
411,7.78478,33473.2,35850.9,42269,51403.5
412,7.80281,33473.2,35448.3,41924,51663.8
413,7.82098,33473.2,36240.6,42208.4,53665.8
414,7.83927,33473.2,33872.9,42150,52127.4
415,7.85769,33473.2,33972,41887.1,50004.7
416,7.87608,33473.2,34682.1,42142.1,50200.7
417,7.89421,33473.2,34710.5,41886.3,52346.5
418,7.91253,33473.2,35507.7,42179.5,51187.7
419,7.93063,33473.2,35309.2,42282.9,51899.6
420,7.94935,33473.2,35598.2,42220.4,52710.4
421,7.96751,33473.2,33742.9,42059.4,50855.9
422,7.98591,33473.2,36083.4,42006.2,49732.3
423,8.00388,33473.2,35105.8,42488.9,53476.5
424,8.02203,33473.2,34466.1,41943.4,52180
425,8.04013,33473.2,34993.5,41652.8,54710.3
426,8.05801,33473.2,34709.2,41518.4,52100.1
427,8.07643,33473.2,33928.8,42251.7,61748.5
428,8.0945,33473.2,36010.8,41524,47647.3
429,8.11274,33473.2,34849.9,41645.9,51116
430,8.13139,33473.2,35045.9,42025.7,52036
431,8.14932,33473.2,35044.1,42051.7,57535.6
432,8.1673,33473.2,34237.4,41808.4,52845.9
433,8.18543,33473.2,34369,41662.6,51825
434,8.20341,33473.2,35636.6,41715,52054.6
435,8.22163,33473.2,35349.9,41802.7,51240.9
436,8.23985,33473.2,36221.1,41767,52814.9
437,8.25834,33473.2,35476.3,41785.5,52708.4
438,8.2764,33473.2,36419.2,42032.2,55877.7
439,8.29469,33473.2,35514.4,42223.9,52619.7
440,8.31332,33473.2,34912,42493.5,52634.4
441,8.33155,33473.2,35824,41910.6,53096.7
442,8.34984,33473.2,35935.5,41752.4,50416.6
443,8.36786,33473.2,35680.9,41965.3,58530.8
444,8.38623,33473.2,35929.4,41985.1,52392.2
445,8.40446,33473.2,35747.8,41983.4,51947.3
446,8.42264,33473.2,35190.7,42090.8,58233.1
447,8.441,33473.2,35741.4,41833.5,61119.1
448,8.45904,33473.2,35374.3,42185.4,53443.7
449,8.47746,33473.2,36258.8,42188.8,53520.4
450,8.49549,33473.2,35344.5,42058.9,54833.9
451,8.51363,33473.2,36360.1,42132.7,51961.7
452,8.53177,33473.2,35899.4,42129.1,55110.2
453,8.55007,33473.2,35225.5,42097,53041.3
454,8.56825,33473.2,34408.2,41969.1,52446.1
455,8.58664,33473.2,35773.1,42187.7,54596.5
456,8.60447,33473.2,35212.8,41828.6,54641.4
457,8.62276,33473.2,35744.7,41590.9,50343.4
458,8.64111,33473.2,34041.5,41954.9,51057.6
459,8.65933,33473.2,34645.3,41603.5,53193.5
460,8.67808,33473.2,34465.4,41746.2,55354.5
461,8.69611,33473.2,35038.9,41744.4,52600.4
462,8.71452,33473.2,35786.8,41951.2,51195.2
463,8.73289,33473.2,37077.1,42048.2,49510.3
464,8.75125,33473.2,35879.8,41686.5,49877.5
465,8.76938,33473.2,36641.2,42158.8,52646.4
466,8.7877,33473.2,36075.5,41688.7,53184.2
467,8.80572,33473.2,33946.5,41991.3,52695.4
468,8.82414,33473.2,35722.8,41912.7,51375.7
469,8.84227,33473.2,35147.9,41896.9,54751.1
470,8.86088,33473.2,36063,41936.8,56072.6
471,8.87908,33473.2,34682.6,41621,51187.3
472,8.89727,33473.2,36120.9,41620.2,54105.2
473,8.91603,33473.2,35550.3,41892.4,52180.7
474,8.93422,33473.2,35691,41828.2,50076.1
475,8.95238,33473.2,35822.8,41788.7,50714.8
476,8.97063,33473.2,34827.4,41823.1,50370.1
477,8.98892,33473.2,34802,42234.3,53784.2
478,9.00711,33473.2,35060.8,41609.5,53123.1
479,9.02557,33473.2,35834.7,42040.8,52855.7
480,9.04397,33473.2,35623.4,41507.6,50918.5
481,9.06204,33473.2,35500.4,41383.5,49308.4
482,9.08054,33473.2,35147.1,41910.7,52665.7
483,9.09885,33473.2,36001.4,42105,54068.7
484,9.11716,33473.2,34737.8,41653.2,51358.2
485,9.13545,33473.2,34892.6,41578.2,51391.2
486,9.15383,33473.2,35298.7,41523.7,53795.6
487,9.17197,33473.2,34692.4,41627.1,52904.1
